Society,Price_mean,Price_min,Price_max,Area_mean,Area_min,Area_max,Bedrooms_mean,Bedrooms_min,Bedrooms_max,Bathrooms_mean,Bathrooms_min,Bathrooms_max,Kitchens_mean,Kitchens_min,Kitchens_max,Store Rooms_mean,Store Rooms_min,Store Rooms_max,Servant Quarters_mean,Servant Quarters_min,Servant Quarters_max
Grand Avenues Housing Scheme,10555555.555555556,6500000.0,15000000.0,1361.25,1361.25,1361.25,3.2222222222222223,3.0,5.0,3.7777777777777777,3.0,5.0,1.2222222222222223,1.0,2.0,0.2222222222222222,0.0,1.0,0.3333333333333333,0.0,1.0
Green Avenue,32000000.0,32000000.0,32000000.0,2722.5,2722.5,2722.5,4.0,4.0,4.0,5.0,5.0,5.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0
Green Cap,9833333.333333334,5000000.0,23500000.0,998.25,544.5,1905.75,3.0,1.0,6.0,3.0,1.0,6.0,1.1666666666666667,1.0,2.0,0.6666666666666666,0.0,1.0,0.6666666666666666,0.0,1.0
Green City,30013157.89473684,21000000.0,78000000.0,1798.282894736842,1361.25,5445.0,3.3947368421052633,3.0,6.0,4.342105263157895,3.0,7.0,1.4210526315789473,1.0,3.0,0.5263157894736842,0.0,2.0,0.42105263157894735,0.0,2.0
Green Park,15066666.666666666,7700000.0,20000000.0,1179.75,544.5,1905.75,3.0,3.0,3.0,3.3333333333333335,3.0,4.0,1.6666666666666667,1.0,2.0,0.6666666666666666,0.0,1.0,0.3333333333333333,0.0,1.0
Green Town,11560000.0,4000000.0,19800000.0,871.2,408.375,1361.25,4.0,3.0,5.0,4.6,3.0,6.0,1.8,1.0,2.0,0.4,0.0,1.0,0.2,0.0,1.0
Greenland Housing Scheme,14500000.0,13500000.0,15500000.0,1089.0,816.75,1361.25,5.0,5.0,5.0,5.5,5.0,6.0,1.0,1.0,1.0,0.5,0.0,1.0,0.5,0.0,1.0
Gul-e-Damin,39000000.0,19000000.0,59000000.0,3403.125,1361.25,5445.0,4.0,3.0,5.0,5.0,4.0,6.0,2.0,2.0,2.0,0.5,0.0,1.0,0.5,0.0,1.0
Gulberg,184362068.96551725,10000000.0,600000000.0,9838.551724137931,544.5,32670.0,5.413793103448276,1.0,10.0,5.172413793103448,1.0,7.0,1.4137931034482758,1.0,2.0,0.5517241379310345,0.0,2.0,0.6896551724137931,0.0,2.0
Gulberg 2,110108333.33333333,19000000.0,175000000.0,5808.0,1361.25,13068.0,5.916666666666667,3.0,8.0,6.0,3.0,7.0,1.8333333333333333,1.0,3.0,1.3333333333333333,1.0,2.0,1.0,0.0,2.0
Gulberg 3,109733333.33333333,7000000.0,580000000.0,4623.7125,544.5,21780.0,4.933333333333334,2.0,10.0,4.733333333333333,2.0,7.0,1.2,1.0,2.0,0.5333333333333333,0.0,2.0,0.4,0.0,2.0
Gulgasht Colony Rustam,20000000.0,20000000.0,20000000.0,1633.5,1633.5,1633.5,4.0,4.0,4.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
Gulshan Ali Colony,17500000.0,17500000.0,17500000.0,1361.25,1361.25,1361.25,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0
Gulshan-e-Habib,19600000.0,17500000.0,21800000.0,1361.25,1361.25,1361.25,3.3333333333333335,3.0,4.0,4.0,3.0,5.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0
Gulshan-e-Lahore,31444444.444444444,15000000.0,60000000.0,1784.75,816.75,2722.5,4.555555555555555,3.0,6.0,5.222222222222222,4.0,7.0,1.8888888888888888,1.0,3.0,0.4444444444444444,0.0,1.0,0.3333333333333333,0.0,1.0
Gulshan-e-Mustafa Housing Society,19000000.0,19000000.0,19000000.0,1089.0,1089.0,1089.0,4.0,4.0,4.0,3.0,3.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Gulshan-e-Ravi,33629032.258064516,11000000.0,70000000.0,2011.1370967741937,544.5,5445.0,4.225806451612903,2.0,9.0,4.193548387096774,2.0,7.0,1.935483870967742,1.0,3.0,0.3870967741935484,0.0,2.0,0.2903225806451613,0.0,2.0
HBFC Housing,64500000.0,55000000.0,70000000.0,5376.9375,5036.625,5445.0,5.0,5.0,5.0,5.833333333333333,5.0,6.0,2.5,2.0,3.0,0.8333333333333334,0.0,2.0,1.1666666666666667,0.0,2.0
Habib Homes,16000000.0,16000000.0,16000000.0,816.75,816.75,816.75,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0
Hajvery Housing,19250000.0,9500000.0,29000000.0,1769.625,816.75,2722.5,5.0,5.0,5.0,5.0,5.0,5.0,2.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
Halloki Gardens,28000000.0,22500000.0,31000000.0,1973.8125,1361.25,2178.0,4.5,3.0,5.0,5.25,4.0,6.0,1.5,1.0,2.0,0.5,0.0,1.0,0.5,0.0,2.0
Hamza Town Phase 2,8438095.238095239,6000000.0,11500000.0,958.0607142857143,789.525,1361.25,2.857142857142857,2.0,4.0,3.5714285714285716,2.0,5.0,1.2857142857142858,1.0,2.0,0.3333333333333333,0.0,2.0,0.23809523809523808,0.0,2.0
Harbanspura,16483333.333333334,3800000.0,28500000.0,1299.2375000000002,408.375,2722.5,4.333333333333333,3.0,6.0,4.444444444444445,1.0,7.0,1.5,1.0,2.0,0.5555555555555556,0.0,2.0,0.5,0.0,2.0
Hassan Town,16000000.0,13000000.0,19000000.0,816.75,680.625,952.875,3.5,3.0,4.0,3.5,3.0,4.0,2.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0
Heir,9000000.0,9000000.0,9000000.0,816.75,816.75,816.75,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0
High Court Society,12992307.692307692,7500000.0,20000000.0,1109.9423076923076,544.5,1633.5,3.3846153846153846,3.0,5.0,3.769230769230769,3.0,5.0,1.4615384615384615,1.0,2.0,0.46153846153846156,0.0,1.0,0.23076923076923078,0.0,1.0
IBL Housing,10416666.666666666,6300000.0,14000000.0,1188.825,598.95,1905.75,3.8333333333333335,3.0,5.0,4.166666666666667,3.0,6.0,1.1666666666666667,1.0,2.0,0.3333333333333333,0.0,1.0,0.3333333333333333,0.0,1.0
IEP Engineers Town,41346938.77551021,7500000.0,89000000.0,4094.862244897959,544.5,10890.0,4.877551020408164,2.0,9.0,5.36734693877551,3.0,7.0,1.6326530612244898,1.0,3.0,0.5510204081632653,0.0,2.0,0.32653061224489793,0.0,2.0
IMAM TOWN,7350000.0,6700000.0,8000000.0,612.5625,544.5,680.625,5.0,5.0,5.0,5.0,5.0,5.0,2.0,2.0,2.0,0.5,0.0,1.0,1.0,1.0,1.0
"ISLAM NAGAR, LAHORE",23000000.0,21000000.0,25000000.0,1225.125,816.75,1633.5,3.0,3.0,3.0,4.0,4.0,4.0,1.5,1.0,2.0,0.5,0.0,1.0,0.0,0.0,0.0
Ichhra,12200000.0,5000000.0,21000000.0,694.2375000000001,272.25,1089.0,4.0,2.0,8.0,3.3333333333333335,2.0,5.0,2.0,1.0,3.0,0.8333333333333334,0.0,1.0,1.1666666666666667,0.0,2.0
Icon Valley,8000000.0,8000000.0,8000000.0,1225.125,1225.125,1225.125,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Ilyas Colony,9000000.0,9000000.0,9000000.0,816.75,816.75,816.75,4.0,4.0,4.0,4.0,4.0,4.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Indigo Canal Homes,21000000.0,21000000.0,21000000.0,816.75,816.75,816.75,3.0,3.0,3.0,4.0,4.0,4.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Iqbal Avenue,67333333.33333333,26000000.0,142500000.0,5626.5,2722.5,10890.0,5.333333333333333,2.0,8.0,5.333333333333333,4.0,6.0,1.3333333333333333,1.0,2.0,0.5,0.0,1.0,0.6666666666666666,0.0,2.0
Iqbal Park,14325000.0,10800000.0,16500000.0,694.2375,544.5,816.75,3.0,3.0,3.0,3.0,3.0,3.0,1.25,1.0,2.0,0.75,0.0,1.0,0.75,0.0,1.0
Islamabad Colony,8000000.0,8000000.0,8000000.0,544.5,544.5,544.5,3.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Islamapura,57375000.0,28500000.0,85000000.0,3301.03125,1497.375,5989.500000000001,4.25,3.0,5.0,4.75,2.0,7.0,1.5,1.0,2.0,1.25,1.0,2.0,1.0,1.0,1.0
Islamia Park,25500000.0,15000000.0,36000000.0,2586.375,1361.25,3811.5,5.5,4.0,7.0,4.5,4.0,5.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Ismail Town,4000000.0,4000000.0,4000000.0,544.5,544.5,544.5,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Ittifaq Town,17000000.0,17000000.0,17000000.0,1361.25,1361.25,1361.25,2.0,2.0,2.0,3.0,3.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Izmir Town,66372222.222222224,20000000.0,230000000.0,4295.5,1361.25,10890.0,5.611111111111111,4.0,10.0,5.5,4.0,7.0,1.9444444444444444,1.0,3.0,0.8888888888888888,0.0,2.0,0.6111111111111112,0.0,1.0
Jail Road,31500000.0,31500000.0,31500000.0,1361.25,1361.25,1361.25,8.0,8.0,8.0,6.0,6.0,6.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0
Jallo,13966666.666666666,4900000.0,22500000.0,6806.25,816.75,16335.0,2.6666666666666665,2.0,3.0,2.6666666666666665,2.0,3.0,1.0,1.0,1.0,0.6666666666666666,0.0,1.0,1.0,0.0,2.0
Jazac City,10000000.0,10000000.0,10000000.0,952.875,952.875,952.875,4.0,4.0,4.0,4.0,4.0,4.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Johar Town Phase 1,46256153.84615385,14000000.0,160000000.0,2789.5153846153844,816.75,10890.0,4.892307692307693,1.0,8.0,5.338461538461538,2.0,7.0,1.853846153846154,1.0,3.0,0.9692307692307692,0.0,2.0,0.7461538461538462,0.0,2.0
Johar Town Phase 2,40200757.57575758,9900000.0,180000000.0,2115.50625,707.85,10890.0,4.863636363636363,3.0,10.0,5.212121212121212,3.0,7.0,2.015151515151515,1.0,3.0,0.8181818181818182,0.0,2.0,0.553030303030303,0.0,2.0
Jora Pull,17500000.0,17500000.0,17500000.0,1089.0,1089.0,1089.0,3.0,3.0,3.0,4.0,4.0,4.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Jubilee Town,23191715.97633136,9500000.0,44000000.0,1630.2781065088757,816.75,2722.5,4.911242603550296,1.0,8.0,5.3076923076923075,1.0,7.0,1.816568047337278,1.0,3.0,0.7159763313609467,0.0,2.0,0.5680473372781065,0.0,2.0
Judicial Colony,58375000.0,45000000.0,66500000.0,5036.625,3811.5,5445.0,5.5,5.0,6.0,5.75,5.0,6.0,1.75,1.0,2.0,0.5,0.0,1.0,0.25,0.0,1.0
Kahna,4674285.714285715,1490000.0,11000000.0,962.5982142857143,544.5,1361.25,2.2142857142857144,1.0,4.0,2.2857142857142856,1.0,4.0,1.2857142857142858,1.0,2.0,0.2857142857142857,0.0,1.0,0.35714285714285715,0.0,1.0
Kahna Kacha,7500000.0,6500000.0,8000000.0,1179.75,816.75,1361.25,2.3333333333333335,2.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,0.3333333333333333,0.0,1.0,0.3333333333333333,0.0,1.0
Kamahan Road,6750000.0,5500000.0,8000000.0,1089.0,544.5,1633.5,3.0,3.0,3.0,2.0,1.0,3.0,1.5,1.0,2.0,0.5,0.0,1.0,0.0,0.0,0.0
Karbath,7250000.0,6500000.0,8000000.0,816.75,816.75,816.75,3.0,3.0,3.0,3.0,3.0,3.0,1.5,1.0,2.0,1.0,0.0,2.0,1.0,0.0,2.0
Khayaban-e-Amin,19515714.285714287,5100000.0,60000000.0,2011.5385714285717,816.75,5445.0,3.2285714285714286,2.0,6.0,3.3285714285714287,1.0,7.0,1.4714285714285715,1.0,3.0,0.5,0.0,2.0,0.5,0.0,2.0
Khayaban-e-Quaid,42000000.0,35500000.0,48500000.0,4083.75,2722.5,5445.0,9.0,9.0,9.0,6.0,6.0,6.0,2.0,1.0,3.0,1.0,0.0,2.0,0.0,0.0,0.0
Khuda Buksh Colony,19490000.0,10000000.0,47500000.0,1361.25,680.625,5445.0,3.425,2.0,8.0,4.15,3.0,7.0,1.65,1.0,3.0,0.725,0.0,2.0,0.35,0.0,2.0
Kot Khawaja Saeed,8500000.0,8500000.0,8500000.0,952.875,952.875,952.875,4.0,4.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0
Kotli Abdur Rahman,9500000.0,9500000.0,9500000.0,1089.0,1089.0,1089.0,4.0,4.0,4.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
"LAHORE MEDICAL HOUSING SCHEME PHASE 1, LAHORE MEDICAL HOUSING SOCIETY",17833333.333333332,11500000.0,28500000.0,1315.875,816.75,2178.0,3.8333333333333335,3.0,5.0,4.166666666666667,3.0,5.0,1.0,1.0,1.0,0.16666666666666666,0.0,1.0,0.3333333333333333,0.0,2.0
"LAHORE MEDICAL HOUSING SCHEME PHASE 2, LAHORE MEDICAL HOUSING SOCIETY",11700000.0,11700000.0,11700000.0,816.75,816.75,816.75,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0
"LAHORE MEDICAL HOUSING SCHEME PHASE 3, LAHORE MEDICAL HOUSING SOCIETY",26000000.0,17000000.0,35000000.0,2041.875,1361.25,2722.5,4.0,3.0,5.0,4.5,4.0,5.0,1.5,1.0,2.0,0.5,0.0,1.0,0.5,0.0,1.0
LDA Avenue,34555000.0,12900000.0,59000000.0,3026.05875,816.75,5445.0,5.36875,2.0,9.0,5.5375,2.0,7.0,1.8375,1.0,3.0,0.6625,0.0,2.0,0.59375,0.0,2.0
LDA City Phase 1,4500000.0,3200000.0,5800000.0,1633.5,544.5,2722.5,4.0,3.0,5.0,3.0,1.0,5.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Lahore Garden,11950000.0,9800000.0,13500000.0,1293.1875,1089.0,1361.25,4.25,3.0,5.0,4.5,4.0,5.0,1.5,1.0,2.0,0.5,0.0,1.0,0.0,0.0,0.0
Lahore Meadows City,12297500.0,9595000.0,15000000.0,1089.0,816.75,1361.25,3.0,3.0,3.0,3.5,3.0,4.0,2.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0
Lahore Medical Phase 1,18365517.24137931,9100000.0,35000000.0,1323.698275862069,598.95,2722.5,4.068965517241379,3.0,8.0,4.517241379310345,3.0,7.0,1.8275862068965518,1.0,3.0,0.8620689655172413,0.0,2.0,0.6896551724137931,0.0,2.0
Lahore Motorway City,13282407.407407407,4250000.0,45000000.0,1895.6666666666667,816.75,5445.0,3.740740740740741,1.0,7.0,3.814814814814815,1.0,7.0,1.4444444444444444,1.0,2.0,0.5925925925925926,0.0,2.0,0.8148148148148148,0.0,2.0
Lahore Press Club Housing Scheme,41375000.0,35000000.0,52000000.0,2790.5625,2722.5,2994.75,5.5,5.0,7.0,6.0,5.0,7.0,1.75,1.0,2.0,0.75,0.0,1.0,0.75,0.0,1.0
Lahore Smart City,30350000.0,26500000.0,34200000.0,1633.5,1361.25,1905.75,3.5,3.0,4.0,4.5,4.0,5.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0
Lahore Villas,11000000.0,11000000.0,11000000.0,816.75,816.75,816.75,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0
Lake City,45858454.54545455,8250000.0,220000000.0,2909.4615,1089.0,10890.0,4.638181818181818,2.0,8.0,5.327272727272727,2.0,7.0,1.8054545454545454,1.0,3.0,0.8418181818181818,0.0,2.0,0.8345454545454546,0.0,2.0
Lalazaar Garden Phase 1,10977777.777777778,3800000.0,15000000.0,753.2249999999999,435.6,952.875,2.888888888888889,2.0,4.0,3.2222222222222223,2.0,4.0,1.7777777777777777,1.0,2.0,0.7777777777777778,0.0,1.0,0.4444444444444444,0.0,2.0
Lalazaar Garden Phase 2,12740000.0,12000000.0,13000000.0,909.3149999999999,816.75,952.875,3.0,3.0,3.0,3.6,3.0,4.0,1.6,1.0,2.0,0.8,0.0,1.0,0.2,0.0,1.0
Larechs Avenue,53750000.0,52500000.0,55000000.0,6534.0,6534.0,6534.0,5.0,5.0,5.0,6.0,6.0,6.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0
Lawrence Road,150000000.0,150000000.0,150000000.0,5989.500000000001,5989.500000000001,5989.500000000001,5.0,5.0,5.0,5.0,5.0,5.0,3.0,3.0,3.0,2.0,2.0,2.0,0.0,0.0,0.0
MM Alam Road,345833333.3333333,27500000.0,850000000.0,9537.824999999999,1388.475,21780.0,4.0,2.0,5.0,4.0,2.0,5.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Madar-e-Millat Road,62500000.0,62500000.0,62500000.0,2722.5,2722.5,2722.5,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
Madina Garden,7800000.0,7800000.0,7800000.0,816.75,816.75,816.75,4.0,4.0,4.0,3.0,3.0,3.0,2.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0
Madni Park,11800000.0,11800000.0,11800000.0,816.75,816.75,816.75,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Makkah Colony,8500000.0,8500000.0,8500000.0,544.5,544.5,544.5,5.0,5.0,5.0,5.0,5.0,5.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Manawan,6600000.0,3800000.0,11500000.0,816.75,816.75,816.75,4.0,2.0,5.0,4.0,2.0,5.0,1.3333333333333333,1.0,2.0,0.3333333333333333,0.0,1.0,0.3333333333333333,0.0,1.0
Manhala Road,3500000.0,3500000.0,3500000.0,816.75,816.75,816.75,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Marghzar Officers Colony,28283510.63829787,5200000.0,79500000.0,2202.3287234042555,381.15,5445.0,4.595744680851064,2.0,10.0,4.638297872340425,2.0,7.0,1.6808510638297873,1.0,3.0,0.7659574468085106,0.0,2.0,0.4574468085106383,0.0,2.0
Maryam Town,8750000.0,5500000.0,12000000.0,1089.0,816.75,1361.25,4.5,3.0,6.0,3.0,3.0,3.0,1.5,1.0,2.0,0.5,0.0,1.0,0.5,0.0,1.0
Mateen Avenue,15000000.0,15000000.0,15000000.0,462.825,462.825,462.825,3.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Medina Town,10000000.0,9000000.0,11000000.0,952.875,816.75,1089.0,2.0,1.0,3.0,2.0,1.0,3.0,1.5,1.0,2.0,0.5,0.0,1.0,0.5,0.0,1.0
Mehar Fayaz Colony,12116666.666666666,8500000.0,21000000.0,975.5625,544.5,2178.0,3.6666666666666665,3.0,5.0,3.8333333333333335,3.0,5.0,1.3333333333333333,1.0,2.0,0.16666666666666666,0.0,1.0,0.16666666666666666,0.0,1.0
Mehboob Garden,7500000.0,7500000.0,7500000.0,816.75,816.75,816.75,4.0,4.0,4.0,4.0,4.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
Mehmood Booti,17000000.0,17000000.0,17000000.0,2178.0,2178.0,2178.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Metro City,10833333.333333334,8000000.0,14500000.0,1361.25,816.75,1905.75,4.0,3.0,5.0,4.333333333333333,4.0,5.0,2.3333333333333335,2.0,3.0,0.6666666666666666,0.0,1.0,0.3333333333333333,0.0,1.0
Mia Fazal Deen,24500000.0,24500000.0,24500000.0,1361.25,1361.25,1361.25,8.0,8.0,8.0,5.0,5.0,5.0,2.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0
Mian Amiruddin Park,13000000.0,9000000.0,17000000.0,803.1375,517.275,1089.0,3.0,3.0,3.0,3.5,3.0,4.0,1.5,1.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0
Military Accounts Housing Society,20543478.260869566,11500000.0,39500000.0,1599.5673913043477,816.75,3267.0,4.3768115942028984,3.0,9.0,4.913043478260869,3.0,7.0,1.6231884057971016,1.0,3.0,0.5797101449275363,0.0,2.0,0.4782608695652174,0.0,2.0
Millat Tractors Employees,22500000.0,22500000.0,22500000.0,2722.5,2722.5,2722.5,5.0,5.0,5.0,6.0,6.0,6.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Model Town,176442477.8761062,15000000.0,900000000.0,7949.45907079646,816.75,32670.0,5.415929203539823,3.0,10.0,5.513274336283186,3.0,7.0,1.8053097345132743,1.0,3.0,0.6548672566371682,0.0,2.0,0.8495575221238938,0.0,2.0
Moeez Town,10450000.0,7000000.0,15000000.0,986.90625,680.625,1633.5,4.5,3.0,6.0,4.5,3.0,6.0,1.5,1.0,2.0,0.25,0.0,1.0,0.0,0.0,0.0
Mohafiz Town Phase 1,35500000.0,35500000.0,35500000.0,4900.5,4900.5,4900.5,5.0,5.0,5.0,6.0,6.0,6.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0
Mohafiz Town Phase 2,14000000.0,12500000.0,15500000.0,1361.25,1361.25,1361.25,4.5,4.0,5.0,5.0,4.0,6.0,1.5,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Mohlanwal,21250000.0,19500000.0,23000000.0,1905.75,1905.75,1905.75,5.0,5.0,5.0,6.0,6.0,6.0,1.5,1.0,2.0,0.5,0.0,1.0,0.5,0.0,1.0
Mozang,14000000.0,14000000.0,14000000.0,1089.0,1089.0,1089.0,7.0,7.0,7.0,4.0,4.0,4.0,3.0,3.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0
Mughalpura,12164705.88235294,6000000.0,32500000.0,959.2808823529411,408.375,2722.5,3.0,2.0,5.0,3.0,1.0,6.0,1.411764705882353,1.0,3.0,0.35294117647058826,0.0,1.0,0.35294117647058826,0.0,2.0
Multan Road,18100000.0,9000000.0,35500000.0,1470.15,544.5,2994.75,4.0,2.0,6.0,3.6,1.0,6.0,1.6,1.0,2.0,0.6,0.0,1.0,0.4,0.0,1.0
Muslim Nagar,28000000.0,28000000.0,28000000.0,2722.5,2722.5,2722.5,5.0,5.0,5.0,6.0,6.0,6.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0
Muslim Town,145444444.44444445,39000000.0,200000000.0,9044.75,2994.75,11434.5,5.555555555555555,4.0,9.0,5.333333333333333,4.0,7.0,1.5555555555555556,1.0,2.0,0.6666666666666666,0.0,2.0,0.6666666666666666,0.0,2.0
Mustafa Town,41175000.0,9900000.0,80000000.0,2739.515625,680.625,5445.0,4.75,3.0,6.0,5.25,4.0,7.0,2.0,1.0,3.0,0.875,0.0,2.0,0.875,0.0,1.0
NESPAK Phase 2,69500000.0,64000000.0,75000000.0,8167.5,5445.0,10890.0,8.5,7.0,10.0,6.5,6.0,7.0,1.5,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
NESPAK Phase 3,42246666.666666664,14500000.0,62000000.0,3884.1,1361.25,5445.0,5.4,3.0,8.0,5.933333333333334,3.0,7.0,1.8,1.0,2.0,0.6,0.0,2.0,0.6666666666666666,0.0,1.0
"NESPAK SCHEME PHASE 2, NESPAK HOUSING SCHEME",27500000.0,27500000.0,27500000.0,2722.5,2722.5,2722.5,6.0,6.0,6.0,7.0,7.0,7.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
NFC Phase 1,74125000.0,21000000.0,150000000.0,5955.46875,1361.25,11434.5,5.775,4.0,8.0,5.925,5.0,7.0,1.925,1.0,3.0,1.025,0.0,2.0,1.0,0.0,2.0
NFC Phase 2,42000000.0,31500000.0,52500000.0,4083.75,2722.5,5445.0,4.5,4.0,5.0,5.5,5.0,6.0,1.5,1.0,2.0,0.5,0.0,1.0,0.5,0.0,1.0
Nadeem Shaheed Road,14000000.0,14000000.0,14000000.0,816.75,816.75,816.75,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Nasheman-e-Iqbal Phase 1,33286206.896551725,12000000.0,62500000.0,2703.7241379310344,816.75,5445.0,5.517241379310345,3.0,8.0,5.793103448275862,3.0,7.0,1.896551724137931,1.0,3.0,0.7586206896551724,0.0,2.0,0.6206896551724138,0.0,2.0
Nasheman-e-Iqbal Phase 2,23456578.94736842,13500000.0,60000000.0,1877.092105263158,816.75,5445.0,5.052631578947368,3.0,8.0,5.5394736842105265,3.0,7.0,1.8289473684210527,1.0,3.0,0.6052631578947368,0.0,2.0,0.5131578947368421,0.0,2.0
National Town,15000000.0,15000000.0,15000000.0,816.75,816.75,816.75,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0
Nawab Town,22218181.818181816,6500000.0,35000000.0,1683.0,816.75,2722.5,5.090909090909091,2.0,8.0,5.545454545454546,2.0,7.0,1.6363636363636365,1.0,3.0,0.5454545454545454,0.0,2.0,0.36363636363636365,0.0,1.0
Naz Town,9166666.666666666,7000000.0,12000000.0,1225.125,952.875,1361.25,3.3333333333333335,3.0,4.0,3.6666666666666665,3.0,5.0,1.6666666666666667,1.0,2.0,1.0,1.0,1.0,0.3333333333333333,0.0,1.0
Nazir Garden,11850000.0,4200000.0,19500000.0,1225.125,544.5,1905.75,3.0,2.0,4.0,2.5,1.0,4.0,1.5,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
New Canal Park,22500000.0,22500000.0,22500000.0,1361.25,1361.25,1361.25,3.0,3.0,3.0,4.0,4.0,4.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
New Chauburji Park,16000000.0,16000000.0,16000000.0,1089.0,1089.0,1089.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,3.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0
New Garden Town,140000000.0,100000000.0,170000000.0,9256.5,5989.500000000001,10890.0,6.666666666666667,6.0,7.0,6.0,6.0,6.0,1.6666666666666667,1.0,2.0,0.6666666666666666,0.0,2.0,0.6666666666666666,0.0,1.0
New Iqbal Park,23944444.444444444,10500000.0,42500000.0,1799.875,544.5,5445.0,3.6666666666666665,3.0,5.0,3.888888888888889,3.0,6.0,1.3333333333333333,1.0,2.0,0.4444444444444444,0.0,1.0,0.5555555555555556,0.0,1.0
New Kashmir Park,4900000.0,4900000.0,4900000.0,816.75,816.75,816.75,5.0,5.0,5.0,5.0,5.0,5.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0
